topic_id,trial_id,decision,llm,justification
4,NCT00004260,2,short/openai,"The patient has CD20+ B-cell NHL (Burkitt) and is ≥18 with no documented CNS involvement or clear exclusion criteria. However, key details (e.g., prior anthracycline for high-grade disease, ECOG, labs, pregnancy/HIV status, cardiac function class, and concurrent therapies) are not provided. Per instructions, insufficient information defaults to 2."
4,NCT00005985,2,short/openai,"The patient has Burkitt’s lymphoma and is age-eligible, and no explicit exclusion is documented. However, key inclusion details (remission/response status after initial therapy, staging, prior chemotherapy, organ function, performance status) are not provided. Per instructions, insufficient information defaults to 2."
4,NCT00008216,2,short/openai,"The patient has Burkitt’s lymphoma (a lymphoma) confirmed by immunophenotyping and chromosomal abnormality (MYC rearrangement), meeting the lymphoma inclusion criterion, and is 44 years old (≤65). Transplant eligibility is not specified; per instructions, if information is insufficient, respond with 2."
4,NCT00008307,2,short/openai,"The patient has a histologically/immunophenotypically confirmed hematologic malignancy (Burkitt’s lymphoma with MYC rearrangement) and is within the age range. No explicit exclusion criteria are stated. However, key details (donor availability, conditioning eligibility/refusal, Karnofsky status, pregnancy status, and explicit high-risk designation) are not provided; per instructions, default to 2 when information is insufficient."
5,NCT00000469,2,short/openai,"The patient is within the disease area (carotid atherosclerosis) and sex is eligible, but the description does not provide LDL percentile and does not clearly establish “early” carotid atherosclerosis per trial definitions. No exclusion criteria are provided or met. Per instructions, insufficient information defaults to 2."
5,NCT00004732,2,short/openai,"Asymptomatic (>6 months since prior stroke) with severe bilateral carotid stenosis by angiography (80% R ICA, 90% L ICA) meets inclusion. No reported atrial fibrillation, anticoagulation use, or other exclusionary conditions."
5,NCT00005479,2,short/openai,"Patient has type 2 DM and prior CABG, satisfying CAD-group inclusion. Age 74 and EF 60% do not trigger exclusions. No definite exclusions (cancer, recent MI/procedure, renal/liver/CBC/thyroid/BMI/lipid/creatinine/proteinuria thresholds) are documented. The criterion requiring MI history or coronary testing within the past year is unclear from the data. Insufficient information to exclude; therefore, defaults to eligible."
5,NCT00011258,2,short/openai,"Angiography shows ≥80% ICA stenosis (meets case-arm imaging criterion), but there is no information about a history of surgical carotid endarterectomy, and no ultrasound <15% bilaterally for control. Insufficient information to decide definitively, so per instructions the score is 2."
7,NCT00010816,2,short/openai,"The patient has chronic HCV, but the description does not provide confirmation of required inclusion details (PCR positivity, ALT within 6 months attributable to HCV, liver biopsy within 2 years, English proficiency, or entry-visit labs). Per instructions, insufficient information defaults to 2."
1,NCT00002814,1,short/openai,"The patient has biopsy-proven anaplastic astrocytoma (meets inclusion) but previously received CPT-11 (irinotecan), a topoisomerase I inhibitor, which matches an exclusion criterion (prior treatment with topoisomerase I inhibitors)."
1,NCT00003470,2,short/openai,"The patient is an adult with biopsy-confirmed, unresectable anaplastic astrocytoma and has received standard therapies. No explicit exclusion criteria are documented. Key details (MRI evidence within 2 weeks, tumor size, labs, performance status, treatment timing) are not provided. Per instructions, with insufficient information but no clear exclusions, the topic is considered to satisfy requirements."
1,NCT00003471,1,short/openai,"The patient has an anaplastic (high-grade) astrocytoma, but the trial requires a low-grade astrocytoma; thus the patient fails a key inclusion criterion. Other criteria are not fully specified, but this mismatch alone makes the patient ineligible."
1,NCT00003621,2,short/openai,"The patient has histologically confirmed anaplastic astrocytoma and is ≥18 years old. No explicit exclusion criteria are met based on the provided details (not oligodendroglial, not pregnant, no uncontrolled infection or concurrent malignancy reported). Key inclusion details (ECOG, labs, contraception use, and timing relative to prior therapy/new diagnosis) are not fully provided. Per instructions, defaulting to eligible."
1,NCT00006474,2,short/openai,"The patient has histologically confirmed anaplastic astrocytoma (grade III), is 45 years old, and has progressive disease after radiotherapy; no exclusion (pregnant/nursing) applies. Details needed for other inclusions (KPS, labs, evaluable disease on imaging, washout intervals, steroid stability) are not provided. Per instructions, default to 2 when information is insufficient."
1,NCT00064363,2,short/openai,"The patient has a histologically confirmed high-grade glioma (anaplastic astrocytoma), is ≥18 years old, and has received prior radiotherapy with clinical progression. No explicit exclusion criteria are documented. Key details (radiographic progression on stable steroids, labs, performance status, washout from prior therapies, and current concurrent therapy status) are not provided, so eligibility cannot be ruled out based on the available information."
1,NCT00080054,2,short/openai,"Age ≥18 and histologically confirmed anaplastic astrocytoma meet inclusion. No information provided on ECOG, consent, labs, renal/hepatic function, or planned concurrent therapy during the study period. No explicit exclusion criteria are met based on the provided details, so with insufficient information, default to eligible."
1,NCT00276783,2,short/openai,"The patient has an included diagnosis (anaplastic astrocytoma), has received and failed prior radiation and multiple chemotherapy regimens (temozolomide; irinotecan plus bevacizumab). Measurable disease is not required for malignant glioma. No explicit exclusion criterion is met based on the provided information. Key eligibility details (KPS, labs, exact timing since prior therapies, NSAID use) are not provided; per instructions, default to eligible."
1,NCT00301418,2,short/openai,"Meets age (≥18) and has histologically confirmed anaplastic astrocytoma. No explicit exclusion criteria are documented (no mention of enzyme-inducing anticonvulsants, PPIs/H2 blockers, prior erlotinib, or other disqualifying factors). Details required for other inclusions (tissue availability, recent imaging, performance status, lab values, treatment timing, steroid stability/PCP prophylaxis) are not provided."
1,NCT00354068,2,short/openai,"The patient has histologically confirmed anaplastic astrocytoma and has received prior external-beam radiation; recurrence/relapse is compatible with inclusion. Key exclusion details (lab values, KPS, bleeding risks, control of hypertension, presence of effusions, intratumor hemorrhage, current-recurrence therapy timing) are not provided, and no exclusion is definitively met from the description. Therefore, based on available information, the topic satisfies the trial requirements."
1,NCT00430872,2,short/openai,"The patient is 45 years old with a spinal cord tumor (anaplastic astrocytoma), meeting inclusion criteria. No evidence of exclusion criteria (not <18, no noted gross cognitive dysfunction). English proficiency is not specified; per instructions, insufficient information defaults to inclusion."
1,NCT00458731,2,short/openai,"Histologically confirmed unresectable solid tumor (spinal anaplastic astrocytoma) with prior therapies permitted meets inclusion. No explicit exclusion (e.g., uncontrolled hypertension, recent major surgery, bleeding diathesis, proteinuria) is documented. Labs, ECOG, timing since last chemotherapy, and other specifics are not provided; per instructions, in the absence of disqualifying information, the topic is considered eligible."
1,NCT00575887,2,short/openai,"Meets age and histopathology (anaplastic astrocytoma). No exclusion criteria are documented (male; KPS not stated; follow-up suitability not stated). Insufficient information to confirm other required inclusions (MRI-confirmed progression after standard-dose temozolomide D1-5/28, KPS ≥50, labs, consent)."
1,NCT00612001,1,short/openai,"Although the patient has histologically confirmed anaplastic astrocytoma (WHO grade III), the tumor is explicitly described as unresectable, failing the inclusion requirement for a surgically accessible tumor for which resection is indicated. Other required criteria (e.g., HLA-A*201, labs) are not provided, but this unmet inclusion criterion disqualifies the patient."
1,NCT00613093,2,short/openai,"The patient has a malignant glioma (anaplastic astrocytoma) and is ≥18 years old, making the topic relevant. There is no explicit match to the exclusion criteria (male, no pregnancy stated; no interfering concomitant meds specified). However, key inclusion details (MRI-defined progression/Temodar resistance per ≥25% criteria, measurable enhancing disease, lab values, KPS, timing since last therapy, steroid stability, etc.) are not provided. Per instructions, in the absence of sufficient information to decide, the appropriate score is 2."
1,NCT00631137,2,short/openai,"The patient has a high-grade glioma (anaplastic astrocytoma), and no exclusion criteria are explicitly met. However, key eligibility details (e.g., dexamethasone dose/stability, hypogonadal status/testosterone, PSA, KPS, BPH/AUA, CHF, psychiatric history, exercise level, hematocrit, timing since prior androgen therapy) are not provided to confirm eligibility. Per instructions, with insufficient information, assign 2."
1,NCT00668122,1,short/openai,"The patient has a central nervous system disorder (spinal cord anaplastic astrocytoma), which meets an exclusion criterion; additionally, no cUTI diagnosis or UTI symptoms are documented to satisfy inclusion."
1,NCT00704080,0,short/openai,"The tumor is spinal (conus) rather than intracranial, failing the required inclusion of histologically confirmed intracranial Grade 3/4 glioma."
1,NCT00705198,0,short/openai,"The patient has malignant glioma and received radiotherapy followed by temozolomide monotherapy, but there is no evidence of temozolomide given concomitantly with radiotherapy (required for newly diagnosed inclusion). He also was not treated with temozolomide for relapsed disease (relapse therapy was CPT-11 + Avastin). No exclusion criteria are met."
1,NCT00723827,2,short/openai,"The patient has a malignant glioma (anaplastic astrocytoma) with progression after standard therapy and has been prescribed temozolomide, meeting the recurrence/progression inclusion criterion. Adherence to local labeling is not specified; per instructions, default to inclusion."
2,NCT00000469,2,short/openai,"The patient is male and has early carotid atherosclerosis (bilateral 1–39% ICA stenosis). LDL percentile is not provided; per instructions, if information is insufficient, classify as meeting criteria."
2,NCT00005199,2,short/openai,"The clinical trial eligibility criteria are not provided, so there is insufficient information to assess inclusion/exclusion. Per instructions, default to 2 when information is insufficient."
2,NCT00005267,2,short/openai,"The patient is 48 with a history of hypertension (onset ≤60) and no reported type 1 diabetes or renal failure. Information about a hypertensive sibling and detailed BP/treatment history is not provided. Per instructions, insufficient information defaults to eligible."
2,NCT00172419,1,short/openai,"The patient is acutely ill (hospitalized with decompensated heart failure due to critical aortic stenosis), which meets the “Acute illness” exclusion. Additionally, carotid stenosis is only 1–39% (not ≥50%), and no ≥50% coronary stenosis is documented, so required inclusions are not met."
2,NCT00176410,1,short/openai,"Patient has symptomatic severe/critical aortic stenosis with heart failure symptoms (SOB, edema), reduced LVEF (25% < 50%), and a clear indication for valve surgery (undergoing pre-op workup). These match multiple exclusion criteria."
2,NCT00247533,0,short/openai,"Fails inclusion criteria—no coronary artery stenosis >50% (no flow-limiting CAD) and carotid stenosis only 1–39% (not >50%). Exclusion details (creatinine, ER, authorization) are not provided, but failure to meet inclusion is sufficient."
2,NCT00256165,1,short/openai,"The patient has severe global hypokinesis with EF 25%, which constitutes a significant wall motion abnormality, meeting an exclusion criterion."
2,NCT00269165,1,short/openai,"The patient has severe symptomatic aortic stenosis but is 48 years old (fails the Age > 75 inclusion criterion). No evidence provided of EuroSCORE > 7 or surgeon-designated prohibitive risk. Thus, the inclusion criteria are not met."
2,NCT00294775,1,short/openai,"The patient has symptomatic severe aortic stenosis and is being evaluated for valve replacement, but his LVEF is 25% (<40%), which meets the explicit exclusion criterion of moderate/severe LV systolic dysfunction."
2,NCT00535899,2,short/openai,"Meets inclusion (severe aortic stenosis with EF 25% and undergoing preop evaluation for AVR). No exclusions documented: AI 2+ and MR mild (not > moderate), no endocarditis, not emergent, no prior sternotomy; creatinine not reported."
2,NCT00598754,2,short/openai,"The patient has critical aortic stenosis and is undergoing preoperative workup for valve replacement, indicating scheduled surgery for aortic valve disease, and there is no mention of prior open heart surgery."
2,NCT00699452,2,short/openai,"Symptomatic, critical aortic stenosis under evaluation for valve replacement; mild (not more than mild) MR; no history of MI, prior cardiac surgery, ACEi/ARB use, or other listed exclusions documented. Other exclusion data are not provided."
2,NCT00767013,2,short/openai,"Patient has severe aortic valve disease and was undergoing preoperative workup for valve replacement (scheduled cardiac surgery). No exclusions (hemodynamic instability, renal insufficiency, contrast allergy, untreated hyperthyroidism) are reported."
2,NCT00774657,2,short/openai,"Age 48 and severe aortic stenosis meet inclusion. No CAD; exclusion criteria (poor acoustic windows, CAD with wall motion abnormality) are not confirmed. Referral for 3D echo and acoustic window quality are not specified, and “isolated” status is ambiguous given 2+ AI and mild MR. Per instruction, insufficient information defaults to eligible."
2,NCT00782327,1,short/openai,"The patient has heart failure (EF 25% with dyspnea and edema), which meets an explicit exclusion criterion. Additionally, there is no evidence of Marfan syndrome or qualifying aortic root Z-score to meet inclusion criteria."
2,NCT00860678,1,short/openai,"The patient has severe aortic stenosis with indication for valve replacement and no CAD requiring bypass, but is 48 years old (<65), which meets the trial’s age exclusion criterion."
2,NCT00965679,2,short/openai,"Adult with severe aortic stenosis being evaluated for valve replacement; underwent diagnostic cardiac catheterization and preoperative chest/cardiac CT. No exclusions are documented (male; no evidence of decompensated HF preventing CT, advanced AV block, COPD/asthma on beta-agonists, severe kidney disease, or contrast refusal). Unspecified elements (consent, CT technical details) do not exclude eligibility."
3,NCT00363662,1,short/openai,"The patient has an intraventricular hemorrhage with a known underlying arteriovenous malformation identified on angiography, which meets the exclusion criterion of a known preexisting source for ICH (e.g., untreated AVM)."
3,NCT00418275,1,short/openai,"The patient has intracranial bleeding on head CT (intraventricular hemorrhage) and an intracranial arteriovenous malformation, both explicit exclusion criteria. Additionally, there is no evidence of acute cerebral ischemia with NIHSS deficit as required by inclusion."
3,NCT00449787,0,short/openai,"The patient’s headache was due to intraventricular hemorrhage from an AVM (a secondary cause), not an acute primary headache, so the inclusion criterion is not met. No information suggests medication allergy/intolerance."
3,NCT00587054,0,short/openai,The case involves an intracranial AVM with hemorrhage and provides no evidence of hematologic malignancy or transplant-related inclusion criteria; thus it is irrelevant to this hematologic trial.
3,NCT00654563,2,short/openai,"The patient is 32 years old (meets age criterion). There is no information provided about consent capacity or any memory concerns/diagnosis, and no exclusion criteria are met. Since there is insufficient information to determine full eligibility, defaulting to eligible per instructions."
3,NCT00665236,1,short/openai,"Excluded due to history of head trauma within the past two years (hit her head on a cabinet the day before presentation). Additionally, she is undergoing evaluation/treatment for an acute major medical illness (intraventricular hemorrhage/AVM). No evidence provided of meeting required migraine history criteria."
3,NCT00733382,0,short/openai,"The patient’s headache is due to intraventricular hemorrhage from an AVM, not a migraine per IHS criteria (and is attributed to another cause). The topic is not relevant to a migraine trial."
3,NCT00760903,1,short/openai,Does not meet inclusion (not acute moderate brain trauma; presents with spontaneous intraventricular hemorrhage from an AVM). Excluded due to CT showing significant intraventricular hemorrhage (large hemorrhage) and history of a neurological condition (AVM); also recent head trauma reported.
3,NCT00857662,2,short/openai,"Confirmed brain AVM on angiography in the left temporal lobe (cerebral cortex), age eligible, and no exclusions (pregnancy, high-flow AVF unsuitable, grade V, prior embolization, or participation in another study) are stated. Spetzler-Martin grade, consent, surgical candidacy, and stability are not specified; per instructions, insufficient detail defaults to eligible."
4,NCT00002471,1,short/openai,"The patient has newly diagnosed Burkitt’s lymphoma (meets disease inclusion), but has received prior therapies for other diseases (e.g., lumbar drain placement, IVC filter placement, knee surgery), which matches the exclusion criterion of any prior therapy for diseases other than non-Hodgkin’s lymphoma."
4,NCT00002663,2,short/openai,"The patient has Burkitt’s lymphoma but the description does not state EBV antigen positivity, EBV DNA levels, transplant/AIDS status, or other qualifying immunodeficiency; it also does not indicate exclusionary moribund organ dysfunction. Insufficient information to determine eligibility; per instructions, default to 2."
4,NCT00003337,2,short/openai,"Histologically confirmed B-cell NHL (Burkitt’s) and age ≥16 are met; no exclusion criteria are documented. Other required details (ECOG, renal function, pregnancy status, mouse protein allergy/exposure, investigational therapy/device participation) are not provided; per instructions, default to eligible."
4,NCT00003338,2,short/openai,"The patient has histologically confirmed B-cell NHL (Burkitt’s) and is ≥16 years old. Information on prior chemo/radiotherapy with minimal residual disease, ECOG, renal function, and exclusion criteria is not provided. Per instructions, with insufficient information, default to eligible."
4,NCT00003863,2,short/openai,"Histologically proven aggressive NHL (Burkitt’s/“small noncleaved cell” lymphoma) and age ≥18 are met. Registration on front-line CALGB protocols and prior CALGB enrollment/slide availability are not specified. Per instruction, insufficient details default to eligible."
4,NCT00004260,2,short/openai,"The patient has histologically confirmed CD20+ B-cell NHL (Burkitt’s), is ≥18, and has no documented exclusion criteria (CNS involvement is negative; no stated NYHA III/IV heart disease, angina, pregnancy, HIV, uncontrolled infection, or concurrent therapies). Required labs, ECOG status, and prior anthracycline exposure are not provided; per instructions, with insufficient information, default to eligible."
4,NCT00005985,2,short/openai,"Relevant lymphoma (Burkitt’s) and age ≤70. Remission status after initial therapy and required organ function/performance details are not provided, and no exclusion is clearly met. Per instructions, insufficient information defaults to eligible."
4,NCT00008216,2,short/openai,"The patient is 44 years old (meets age ≤65) with Burkitt’s lymphoma confirmed by immunophenotyping and MYC rearrangement (meets lymphoma inclusion). Eligibility for allogeneic transplant is not specified; per instructions, insufficient information defaults to 2."
4,NCT00008307,2,short/openai,"The patient has a histologically confirmed hematologic malignancy (Burkitt’s lymphoma with MYC rearrangement) and is 44 years old (within 1–80). Other required details (high-risk status, donor availability, conditioning eligibility/unwillingness, Karnofsky score, and exclusion factors like pregnancy or compliance-limiting illness) are not provided; per instructions, insufficient information defaults to eligibility."
4,NCT00039130,2,short/openai,"Adult (44) with immunophenotypically confirmed Burkitt’s lymphoma and no marrow/CNS involvement reported; appears previously untreated and no exclusions stated. However, required details (L3 morphology, specific t(8;14/8;22/2;8), HIV status, pregnancy status/contraception, bilirubin/creatinine) are not provided. Insufficient information to exclude; default to eligible per instructions."
4,NCT00126191,2,short/openai,"The patient has histologically confirmed Burkitt lymphoma (MYC+, CD10+ monotypic B cells), is >18 years old, and has measurable disease on cardiac MRI. No exclusion criteria are clearly met from the provided information. Key eligibility details (BWH pathology review, labs, HIV status, ejection fraction, prior therapy, infection status, pregnancy, recent major surgery) are not provided; per instructions, default to eligible."
4,NCT00133991,2,short/openai,"44-year-old with histologically confirmed Burkitt’s lymphoma, newly diagnosed/untreated, age ≥30; no provided evidence of exclusion criteria (irreversible renal/cardiac dysfunction precluding therapy, pregnancy, HIV, other recent malignancy, prior lymphoma chemo/radiation)."
4,NCT00180882,2,short/openai,"Age ≥18 and cytology confirms Burkitt lymphoma (MYC rearrangement, immunophenotype). No explicit exclusion criteria are documented (no HIV/HBV/HCV positivity, no prior lymphoma therapy, no stated anthracycline-contraindicating cardiac disease, no severe renal/hepatic failure, no prior malignancy, transplant, pregnancy, or psychiatric contraindications). Other required details (WHO PS, consent, serologies) are not provided; per instructions, default to eligible."
4,NCT00199082,2,short/openai,"Meets inclusion (Burkitt’s lymphoma; age 44). No documented exclusions (no HIV, no prior chemo/radiotherapy for lymphoma, no active second malignancy, no pregnancy, no conflicting study). Other required details (e.g., consent) not provided, so default to eligible."
4,NCT00203996,0,short/openai,"Ineligible due to failing inclusion criteria. She is 44 years old (>40), which exceeds the age limit for both PCOS subjects (<40) and controls (18–40). She also has obesity and PCOS, disqualifying her from the control group (requires BMI <25, good health, and no endocrine disorders). No exclusion-criterion medication use is documented."
4,NCT00266370,2,short/openai,"The patient has a clinical diagnosis of lymphoma (Burkitt’s lymphoma) and documented infectious diseases in the history (viral encephalitis/meningitis and meningitis), meeting the inclusion criteria; no exclusion criteria provided."
4,NCT00278408,2,short/openai,"Meets key inclusions (histologically confirmed aggressive B‑cell NHL—Burkitt’s; CD20-positive; previously untreated implied). No exclusions are documented (CNS involvement negative; no prior chemo/radiation; no stated HIV/hepatitis/pregnancy/other malignancy or cardiac dysfunction/arrhythmias). IPI, labs, ECOG, and pregnancy test not provided; per instructions, if information is insufficient, classify as satisfying requirements."
4,NCT00440583,0,short/openai,"The patient has Burkitt’s lymphoma (not diffuse large B-cell lymphoma) and diagnosis appears based on pericardial fluid cytology, which does not meet the trial’s required histology and diagnostic method; bulky stage II–IV disease is also not established."
4,NCT00447304,1,short/openai,"Although age >18 and presentation with cholecystitis symptoms suggest possible inclusion, the patient has significant cardiac disease (primary cardiac lymphoma with large pericardial effusion and right atrial mass), which meets the exclusion criterion of significant cardiac disease."
4,NCT00587054,2,short/openai,"The patient has histologically confirmed non-Hodgkin’s lymphoma (Burkitt’s), meeting a key inclusion criterion. No exclusion criteria are documented. Other required details (donor match, organ function, performance status, pregnancy test) are not provided; per instructions, insufficient information defaults to eligible."
4,NCT00669877,2,short/openai,"Confirmed Burkitt’s lymphoma (primary cardiac) and age is eligible (all ages). No exclusion criteria provided. ECOG status, organ function labs, and consent are not stated; per instructions, when information is insufficient, return 2."
4,NCT00944567,0,short/openai,"Diagnosis is primary cardiac Burkitt lymphoma with a right atrial mass, not primary mediastinal diffuse large B‑cell lymphoma with a dominant anterior mediastinal mass; thus key inclusion criteria are not met."
4,NCT00949741,2,short/openai,"The patient has a confirmed diagnosis of Burkitt’s lymphoma (an inclusion criterion), underwent a lumbar puncture with no evidence of meningeal involvement (no exclusion met), and there is no contradictory information regarding required CSF studies. Therefore, the topic satisfies the trial requirements."
5,NCT00000469,2,short/openai,"Sex inclusion is met. The patient has carotid atherosclerosis, but whether it qualifies as “early” is not specified, and LDL values are not provided. No exclusion criteria are given. Insufficient information to make a definitive decision, so per instructions mark as 2."
5,NCT00004732,2,short/openai,"Asymptomatic regarding the study artery (no events in last 6 months; prior CVA 10–15 years ago), with angiographic stenosis 80% R ICA and 90% L ICA meeting >=60% angiography threshold. No exclusions documented (no AF, no anticoagulation, no stated conditions precluding CEA/CAS or 4-year survival)."
5,NCT00005479,2,short/openai,"Meets key inclusions (documented type 2 DM; CAD via prior CABG; age 74 within 35–75; EF 60% > 20%). No explicit exclusion criteria are documented (no recent MI/procedure timing given; no cancer; no kidney/liver disease diagnoses; no abnormal labs/BMI provided; proteinuria present but not quantified to exceed thresholds). Some required details (e.g., recent angiogram/stress test, lab cutoffs) are not provided; per instructions, default to eligible."
5,NCT00011258,0,short/openai,"Angiography shows ≥80% ICA stenosis (R 80%, L 90%), meeting the case-arm stenosis criterion. History of carotid endarterectomy is not specified, and control-arm criteria (<15% by ultrasound bilaterally) are not met. Insufficient information to decide definitively; per instructions, default to eligible."
5,NCT00106886,2,short/openai,"Age 74 meets age criterion; has documented CAD, PVD, prior CVA, and diabetes—fulfills inclusion. No exclusions are documented (no vitamin use/adverse reactions noted, no planned revascularization stated, no valvular obstruction, uncontrolled HTN, or other limiting illness specified). Informed consent not specified; default to eligible per instructions."
5,NCT00106938,1,short/openai,"Although age and asymptomatic status fit inclusion, angiography shows bilateral significant carotid stenosis (80% R ICA and 90% L ICA), violating the requirement of no contralateral ICA/CCA stenosis > 60% and meeting the explicit exclusion for bilateral disease with contralateral > 60% stenosis."
5,NCT00125671,2,short/openai,"The patient meets inclusion via significant carotid stenosis (other significant PAD). No exclusions are documented: prior stroke was remote (>6 months), no active bleeding, dialysis, aneurysm, or stated need for imminent vascular procedures. Based on provided information, the requirements are satisfied."
5,NCT00177346,2,short/openai,"74-year-old male with bilateral ICA stenosis 80% (R) and 90% (L) by angiography meets age, sex, and ≥70% stenosis criteria. He is asymptomatic and <80, which is permitted. He appears high-risk by multi-system dysfunction (e.g., cardiovascular disease/PVD, diabetes with complications, anemia/proteinuria), satisfying a high-risk category. No exclusion criteria are evident. Documentation by two physicians is not provided, but insufficient information defaults to inclusion per instructions."
5,NCT00178451,2,short/openai,"Age 74 meets >18. Angiography shows 80% R and 90% L carotid stenosis; no focal neuro deficits and prior CVA was >10 years ago without residuals, satisfying asymptomatic >75% stenosis and not triggering the “CVA within two years or with residual deficit” exclusion. No evidence provided of recent CVA (≤12 weeks), active bleeding, recent surgery/trauma, anticoagulant use, thrombocytopenia, intracranial lesions, severe uncontrolled HTN, vasculitis, or hypersensitivity. Information about consent, TCD window, and Abciximab contraindications is not provided; per instructions, default to eligible."
5,NCT00180518,2,short/openai,"The patient is ≥18 years old and has asymptomatic bilateral ICA stenosis by angiography (80% right, 90% left), satisfying the asymptomatic inclusion threshold (≥80%) and target ICA lesion criteria. No exclusion criteria are documented (no recent/evolving stroke, hemorrhage, severe heart failure, dialysis, severe dementia, or contraindicated anatomy/conditions). Some required details (high-risk criteria fulfillment, vessel diameters, consent/follow-up) are not provided, but no conflicting information is given."
5,NCT00217178,2,short/openai,"Meets multiple inclusion criteria: age ≥55 (74M), diabetes mellitus with additional major cardiovascular risk factors (HTN, hyperlipidemia, CAD/PVD), prior CVA, and adequate baseline carotid ultrasound. No exclusion criteria are documented (no high-dose folate use, no adverse reactions, no planned procedures stated)."
5,NCT00247533,2,short/openai,"The patient has severe carotid stenosis (>50%) and a history of CAD s/p CABG (implying significant coronary stenosis). No data indicate creatinine >2.0 mg/dL, ER status, or lack of authorization; “co-morbidity” is unspecified. Insufficient exclusion information, so include per instructions."
5,NCT00271076,2,short/openai,"Age 74; bilateral ICA stenosis 80–90% (meets asymptomatic ≥75% inclusion). No acute neurologic event or stroke within 30 days, and no other exclusions reported. Carotid ultrasound was performed, though timing and some details (allergies, renal function, meds, consent) are not provided; per instructions, default to eligible."
5,NCT00316108,2,short/openai,"Meets asymptomatic inclusion (≥80% ICA stenosis by angiography; no cerebral/retinal TIA or stroke within 180 days). Lesions are in the ICA. No explicit exclusions are present (no recent stroke, no occlusions, no prior carotid stents, no recent MI/surgery, no arrhythmia noted). Vessel diameters and high‑risk category status are not provided; per instructions, default to inclusion when information is insufficient."
5,NCT00380185,2,short/openai,"Patient has documented PVD and CAD but ABI < 0.9 and referral for elective coronary angiogram are not specified. No exclusions (radiation, transplant, viral disease) are reported. Insufficient information to decide definitively; per instructions, classify as eligible."
